gatId,gatIdGr,street,houseNo,eldership,place,longitude,latitude,fullAddress,people on street
21912,54,Bazilijonų g.,5,Senamiestis,Vilnius,25.28857,54.67369,Bazilijonų g. 5,181
28385,2081,Girių g.,2B,Paneriai,Vilnius,25.09168,54.6211,Girių g. 2B,145
28249,814,J. Biliūno g.,8A,Antakalnis,Vilnius,25.39342,54.79417,J. Biliūno g. 8A,132
21949,93,Deltuvos g.,31,Šeškinė,Vilnius,25.24994,54.70761,Deltuvos g. 31,344
322862,3570,Sofijos Veiverytės g.,13,Paneriai,Vilnius,25.10884,54.63596,Sofijos Veiverytės g. 13,7
238718,3115,Valonų g.,27E,Naujoji Vilnia,Vilnius,25.34037,54.64897,Valonų g. 27E,420
50748,1917,Krakiškių Sodų 15-oji g.,2C,Verkiai,Vilnius,25.331,54.8026,Krakiškių Sodų 15-oji g. 2C,106
49102,1619,Nadruvos g.,24B,Pilaitė,Vilnius,25.17123,54.69904,Nadruvos g. 24B,88
66957,2713,Mileišiškių Sodų g.,58,Antakalnis,Vilnius,25.34541,54.71599,Mileišiškių Sodų g. 58,92
22451,618,Vingrių g.,9D,Senamiestis,Vilnius,25.27607,54.67864,Vingrių g. 9D,398
50032,1712,Virbalio g.,6,Pilaitė,Vilnius,25.18204,54.71682,Virbalio g. 6,8
22156,306,Lyglaukių g.,20,Rasos,Vilnius,25.32633,54.69457,Lyglaukių g. 20,71
21989,133,Garsioji g.,2B,Naujoji Vilnia,Vilnius,25.35577,54.6677,Garsioji g. 2B,158
246814,3187,Pilkalnio g.,18A,Pilaitė,Vilnius,25.16567,54.70939,Pilkalnio g. 18A,611
22052,199,Jočionių g.,41A,Paneriai,Vilnius,25.16365,54.66744,Jočionių g. 41A,54
32103,983,Česlovo Kudabos g.,19B,Antakalnis,Vilnius,25.40931,54.73661,Česlovo Kudabos g. 19B,49
49126,1995,Juozapiškių g.,83A,Verkiai,Vilnius,25.35519,54.80763,Juozapiškių g. 83A,46
30992,918,V. Mačernio g.,9,Verkiai,Vilnius,25.24478,54.74379,V. Mačernio g. 9,187
61882,10,Žalvarnių g.,31E,Grigiškės,Vilnius,25.08772,54.66245,Žalvarnių g. 31E,172
24258,716,Aludarių g.,11,Naujamiestis,Vilnius,25.26461,54.68537,Aludarių g. 11,545
32121,992,Dusinėnų g.,178A,Naujininkai,Vilnius,25.24833,54.60633,Dusinėnų g. 178A,254
61780,2682,Tolimosios Sodų g.,3A,Naujoji Vilnia,Vilnius,25.34822,54.66573,Tolimosios Sodų g. 3A,103
85928,2862,Saliamono Banaičio g.,17A,Naujoji Vilnia,Vilnius,25.37905,54.67637,Saliamono Banaičio g. 17A,54
21874,13,Ajerų g.,43A,Antakalnis,Vilnius,25.42044,54.7332,Ajerų g. 43A,97
52080,2134,Norvegų g.,3D,Naujoji Vilnia,Vilnius,25.35166,54.6543,Norvegų g. 3D,73
52026,2107,Jašiūnų g.,40,Naujininkai,Vilnius,25.22875,54.62823,Jašiūnų g. 40,26
269571,3311,Felikso Mieliausko g.,17,Naujininkai,Vilnius,25.29015,54.61698,Felikso Mieliausko g. 17,7
22297,456,Rinktinės g.,3A,Žirmūnai,Vilnius,25.29183,54.69284,Rinktinės g. 3A,3455
49984,1688,Danės g.,2,Pilaitė,Vilnius,25.18083,54.71453,Danės g. 2,74
48918,1616,Iždo g.,3A,Verkiai,Vilnius,25.25955,54.74805,Iždo g. 3A,47
60016,2598,Gurių Sodų 18-oji g.,23,Naujoji Vilnia,Vilnius,25.35457,54.65836,Gurių Sodų 18-oji g. 23,34
24261,714,Biržiškų g.,10,Naujoji Vilnia,Vilnius,25.42383,54.70329,Biržiškų g. 10,201
22485,653,Šeškinės g.,55,Šeškinė,Vilnius,25.2484,54.71873,Šeškinės g. 55,3794
24719,768,R. Mackonio g.,28,Naujoji Vilnia,Vilnius,25.42404,54.70362,R. Mackonio g. 28,52
22229,384,Pagirio g.,7,Paneriai,Vilnius,25.17123,54.63175,Pagirio g. 7,28
50398,1809,Birelių Sodų 3-ioji g.,8,Verkiai,Vilnius,25.32212,54.8196,Birelių Sodų 3-ioji g. 8,10
105646,2925,Nakvišų g.,22,Antakalnis,Vilnius,25.40436,54.71946,Nakvišų g. 22,24
288212,3403,Pakonių g.,24B,Pašilaičiai,Vilnius,25.19236,54.74262,Pakonių g. 24B,102
53694,2438,Kelmijos Sodų 28-oji g.,3,Naujininkai,Vilnius,25.25207,54.602,Kelmijos Sodų 28-oji g. 3,15
100242,2904,Smėlynės Sodų 1-oji g.,28,Antakalnis,Vilnius,25.36369,54.75765,Smėlynės Sodų 1-oji g. 28,45
320314,3577,Poligrafijos g.,4,Viršuliškės,Vilnius,25.21471,54.70162,Poligrafijos g. 4,64
22280,438,Pušyno kel.,16,Verkiai,Vilnius,25.28405,54.73463,Pušyno kel. 16,171
51038,1929,Kęsgailų g.,3A,Fabijoniškės,Vilnius,25.232,54.75672,Kęsgailų g. 3A,49
28260,826,K. Jauniaus g.,3B,Antakalnis,Vilnius,25.30732,54.69653,K. Jauniaus g. 3B,47
22233,388,Palangos g.,1,Senamiestis,Vilnius,25.2782,54.68251,Palangos g. 1,44
213216,3043,Dano Pozniako g.,7,Naujininkai,Vilnius,25.28913,54.61754,Dano Pozniako g. 7,0
51600,1957,Avinėlių g.,30,Naujininkai,Vilnius,25.27307,54.59853,Avinėlių g. 30,50
283831,3388,Reikjaviko g.,25,Justiniškės,Vilnius,25.20506,54.72138,Reikjaviko g. 25,0
318068,3551,Gėlūnų g.,20,Naujininkai,Vilnius,25.28357,54.65854,Gėlūnų g. 20,15
113352,2962,Daujoto g.,20,Verkiai,Vilnius,25.27916,54.77872,Daujoto g. 20,224
22122,271,Labguvos g.,16,Pilaitė,Vilnius,25.17038,54.7185,Labguvos g. 16,26
265563,3271,Liubavos g.,13A,Pilaitė,Vilnius,25.1501,54.72451,Liubavos g. 13A,58
60034,2607,Gurių Sodų 27-oji g.,38,Naujoji Vilnia,Vilnius,25.35948,54.65527,Gurių Sodų 27-oji g. 38,57
85969,2882,Broniaus Kazio Balučio g.,21D,Naujoji Vilnia,Vilnius,25.39534,54.67722,Broniaus Kazio Balučio g. 21D,259
85953,2874,Juozo Balčikonio g.,17,Verkiai,Vilnius,25.27898,54.72102,Juozo Balčikonio g. 17,1957
22268,425,Plukių g.,10A,Antakalnis,Vilnius,25.39898,54.72345,Plukių g. 10A,43
95652,2892,Jono Rustemo g.,8,Paneriai,Vilnius,25.10853,54.62492,Jono Rustemo g. 8,0
67393,2759,Jakštonių g.,11A,Naujoji Vilnia,Vilnius,25.39218,54.67805,Jakštonių g. 11A,36
207386,2982,Estų g.,18B,Naujoji Vilnia,Vilnius,25.34573,54.65141,Estų g. 18B,124
47616,1583,Jeruzalės g.,11A,Verkiai,Vilnius,25.27795,54.7422,Jeruzalės g. 11A,755
24746,796,Žilvino g.,82A,Verkiai,Vilnius,25.34912,54.77881,Žilvino g. 82A,304
22192,345,Minties g.,42B,Žirmūnai,Vilnius,25.29497,54.70417,Minties g. 42B,3995
51036,1928,Antano Gelgaudo g.,15,Fabijoniškės,Vilnius,25.22755,54.74566,Antano Gelgaudo g. 15,53
207397,2979,Jono Jurkšto g.,25A,Naujininkai,Vilnius,25.23883,54.62172,Jono Jurkšto g. 25A,48
50104,1748,Bajorų Sodų 33-ioji g.,11A,Verkiai,Vilnius,25.24515,54.76123,Bajorų Sodų 33-ioji g. 11A,28
305113,3521,Boleslovo Koliškos g.,35,Naujoji Vilnia,Vilnius,25.43828,54.67902,Boleslovo Koliškos g. 35,1
259351,3211,Samių g.,28,Naujoji Vilnia,Vilnius,25.35044,54.64684,Samių g. 28,11
259464,3210,Maltiečių g.,39,Naujoji Vilnia,Vilnius,25.34968,54.64649,Maltiečių g. 39,6
207387,2984,Pustabalių g.,22,Naujininkai,Vilnius,25.30757,54.60441,Pustabalių g. 22,3
22516,685,Žiemgalių g.,14A,Žvėrynas,Vilnius,25.24778,54.6963,Žiemgalių g. 14A,52
