Upload_Record_ID,Konteinerio_Nr,Konteinerio_RFID,Konteinerio_capacity,Konteinerio_area,Konteinerio_street,Konteinerio_namas,Driver,Automobilis,Pickup_date__time,Weight_kg_,lift_point_latitude,Lift_point_longitude,Data_submission_date__time,Zona,date,season,people_on_street_nearest_avg3
1189785,13-L-414715,E200001C361901502490776F,0.24,Vilniaus m.,Svarstyklių g.,11,Ekonovus,,8:14:00 AM,0.015,54.7528,25.2378,8:22:00 AM,Vilniaus m. BA1,11/4/2020,Summer,80.33333333
1193477,13-L-221837,E20047018560602691C2010E,1.1,Vilniaus m.,Sandėlių g.,38,Ekonovus,,1:12:00 PM,0.0395,54.6561,25.1223,1:52:00 PM,Vilniaus m. BA3,12/22/2020,Summer,1.333333333
1193480,13-L-220443,E200470CDD5060264741010B,0.77,Vilniaus m.,Sandėlių g.,38,Ekonovus,,1:16:00 PM,0.0245,54.6576,25.1204,1:52:00 PM,Vilniaus m. BA3,8/2/2022,Summer,1.333333333
1192384,13-L-215258,E200001C3618002710000929,1.1,Vilnius,Granito g.,10,Ekonovus,,11:30:00 AM,0.036,54.6409,25.141,12:12:00 PM,Vilniaus m. BA3,10/23/2020,Summer,158.3333333
1187996,13-L-219319,0512021373FEDCBA00064371,1.1,Vilnius,J. Tiškevičiaus g.,24,Ekonovus,,5:22:00 AM,0.039,54.6227,25.1101,6:02:00 AM,Vilniaus m. BA3,3/17/2022,Summer,29.33333333
1187998,13-L-206504,E2000017571302071090ACBB,1.1,Vilnius,J. Tiškevičiaus g.,24,Ekonovus,,5:23:00 AM,0.0355,54.6227,25.1101,6:02:00 AM,Vilniaus m. BA3,7/28/2020,Summer,29.33333333
1187997,13-L-206503,E20000175713020712609888,1.1,Vilnius,J. Tiškevičiaus g.,24,Ekonovus,,5:23:00 AM,0.0375,54.6227,25.1101,6:02:00 AM,Vilniaus m. BA3,7/28/2020,Summer,29.33333333
1187995,13-L-222182,E2004702108060269A740109,1.1,Vilnius,J. Tiškevičiaus g.,24,Ekonovus,,5:22:00 AM,0.0355,54.6227,25.1101,6:02:00 AM,Vilniaus m. BA3,10/20/2021,Summer,29.33333333
1188002,13-L-216308,E28011052000730E3FFD0A9C,1.1,Vilnius,V. A. Graičiūno g.,2A,Ekonovus,,5:29:00 AM,0.0335,54.6282,25.1396,6:02:00 AM,Vilniaus m. BA3,2/1/2021,Summer,35.66666667
1190393,13-L-207067,E20000175713020522602DDF,1.1,Vilnius,V. A. Graičiūno g.,30,Ekonovus,,8:23:00 AM,0.0395,54.6124,25.1556,9:02:00 AM,Vilniaus m. BA3,9/28/2018,Spring,298.3333333
1190395,13-L-217712,0512021373FEDCBA00019446,1.1,Vilnius,V. A. Graičiūno g.,30,Ekonovus,,8:23:00 AM,0.0335,54.6122,25.1567,9:02:00 AM,Vilniaus m. BA3,7/28/2021,Spring,298.3333333
1189928,13-L-213702,E200001C3618006407402040,1.1,Vilnius,V. A. Graičiūno g.,34,Ekonovus,,7:58:00 AM,0.039,54.6123,25.1596,8:32:00 AM,Vilniaus m. BA3,6/4/2020,Autumn,298.3333333
1187785,13-L-221740,E20047017750602690E1010E,1.1,Vilnius,Savanorių pr.,247,Ekonovus,,4:56:00 AM,0.0365,54.6558,25.1375,5:32:00 AM,Vilniaus m. BA3,10/28/2022,Winter,2175
1187775,13-L-219133,0512021373FEDCBA00086268,1.1,Vilnius,Savanorių pr.,247,Ekonovus,,4:53:00 AM,0.039,54.6575,25.1375,5:32:00 AM,Vilniaus m. BA3,10/28/2022,Winter,2175
1187784,13-L-215996,E200001C361902292440D20A,1.1,Vilnius,Savanorių pr.,247,Ekonovus,,4:56:00 AM,0.0435,54.6558,25.1375,5:32:00 AM,Vilniaus m. BA3,1/27/2021,Winter,2175
1187774,13-L-222458,E2004709E47060263455010A,1.1,Vilnius,Savanorių pr.,247,Ekonovus,,4:53:00 AM,0.036,54.6575,25.1374,5:32:00 AM,Vilniaus m. BA3,1/11/2023,Winter,2175
1187789,13-L-219136,0512021373FEDCBA00086265,1.1,Vilnius,Savanorių pr.,247,Ekonovus,,4:56:00 AM,0.0375,54.6558,25.1377,5:32:00 AM,Vilniaus m. BA3,10/28/2022,Winter,2175
1187677,13-L-222363,E2004718B410602604AD0107,1.1,Vilnius,Savanorių pr.,247,Ekonovus,,4:48:00 AM,0.034,54.656,25.1372,5:22:00 AM,Vilniaus m. BA3,12/8/2022,Autumn,2175
1188548,13-L-312615,E200470839006026FCFC0112,1.1,Vilniaus m.,Konstitucijos pr.,21C,Ekonovus,,6:13:00 AM,0.0355,54.6989,25.2704,6:52:00 AM,Vilniaus m. BA5,6/27/2022,Winter,431.3333333
1194409,13-L-141840,4000000EC6D30F,0.77,Vilniaus m.,Subačiaus g.,102,Ecoservice,,1:37:00 PM,,54.6751,25.3146,4:01:00 PM,Vilniaus m. BA2,5/4/2021,Spring,91.66666667
1194410,13-L-141840,4000000EC6D30F,0.77,Vilniaus m.,Subačiaus g.,102,Ecoservice,,1:37:00 PM,,54.6751,25.3146,4:01:00 PM,Vilniaus m. BA2,5/4/2021,Spring,91.66666667
1194080,13-L-310913,0512021373FEDCBA00036520,1.1,Vilniaus m.,Saltoniškių g.,7C,Ekonovus,,2:58:00 PM,0.157,54.7012,25.2589,3:02:00 PM,Vilniaus m. BA5,5/28/2021,Spring,808.3333333
1194081,13-L-310911,0512021373FEDCBA00036522,1.1,Vilniaus m.,Saltoniškių g.,7C,Ekonovus,,2:59:00 PM,0.076,54.7012,25.2589,3:02:00 PM,Vilniaus m. BA5,5/28/2021,Spring,808.3333333
1194338,13-L-310912,0512021373FEDCBA00036521,1.1,Vilniaus m.,Saltoniškių g.,7C,Ekonovus,,3:00:00 PM,0.033,54.7012,25.2589,3:42:00 PM,Vilniaus m. BA5,5/28/2021,Winter,808.3333333
1194082,13-L-311689,E20047019B7060269323010E,1.1,Vilniaus m.,Saltoniškių g.,7C,Ekonovus,,2:59:00 PM,0.032,54.7012,25.2589,3:02:00 PM,Vilniaus m. BA5,8/23/2022,Spring,808.3333333
1187181,13-L-309213,E200001C36180054115018F7,0.77,Vilniaus m.,Savanorių pr.,5,Ekonovus,,2:51:00 AM,0.0285,54.6787,25.2575,3:32:00 AM,Vilniaus m. BA5,3/12/2021,Spring,377
1187183,13-L-309212,E200001C36180077115030AA,0.77,Vilniaus m.,Savanorių pr.,5,Ekonovus,,2:52:00 AM,0.026,54.6787,25.2575,3:32:00 AM,Vilniaus m. BA5,3/12/2021,Spring,377
1187182,13-L-309499,E200001C361802041110B5FA,0.77,Vilniaus m.,Savanorių pr.,5,Ekonovus,,2:52:00 AM,0.0295,54.6787,25.2575,3:32:00 AM,Vilniaus m. BA5,3/12/2021,Spring,377
